"","US.merge","US.id","US.screen_name","US.verified","US.url","US.created_at","US.name","US.followers_count","US.location","US.description","US.time_zone","US.listed_count","US.lang","US.friends_count","US.statuses_count","US.dw.nom.1","US.icpsr.id","US.nameid","US.title","US.party","US.state","US.gender","US.idealPoint"
"17","barbara_boxer",125730897,"barbara_boxer",FALSE,NA,"Tue Mar 23 17:52:51 +0000 2010","Barbara Boxer",318,"","Check out @boxer_2010 for updates from the campaign!",NA,49,"en",1,1,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
"18","benniegthompson",82453460,"BennieGThompson",TRUE,"http://benniethompson.house.gov","Wed Oct 14 20:47:03 +0000 2009","Bennie Thompson",1652,"Bolton, Mississippi","","Eastern Time (US & Canada)",139,"en",57,74,-0.523,29368,"T000193","House","D","MS","M",-0.945621742821703
"19","benquayle",238321369,"benquayle",TRUE,"http://quayle.house.gov","Fri Jan 14 22:17:10 +0000 2011","Ben Quayle",5548,"Washington, DC","Official Twitter account for Congressman Ben Quayle -- proudly Representing the 3rd Congressional District of Arizona.","Eastern Time (US & Canada)",390,"en",1030,829,0.667,21104,"Q000024","House","R","AZ","M",1.25331731461014
"20","bettymccollum04",516880804,"BettyMcCollum04",TRUE,"http://mccollum.house.gov/","Tue Mar 06 20:52:11 +0000 2012","Betty McCollum",1706,"St. Paul, MN","I am currently serving my sixth term in the United States Congress, representing the residents of Minnesota’s Fourth Congressional District.  ","Eastern Time (US & Canada)",78,"en",593,1298,-0.468,20122,"M001143","House","D","MN","F",-1.1488254928935
"21","bilbrayca50",55235265,"BilbrayCA50",TRUE,"http://bilbray.house.gov","Thu Jul 09 13:31:41 +0000 2009","Brian Bilbray",5432,"Carlsbad, California","I represent the 50th Congressional District of California.","Eastern Time (US & Canada)",629,"en",435,530,0.393,29508,"B000461","House","R","CA","M",0.583978803537149
"22","billcassidy",55677432,"BillCassidy",FALSE,"http://www.billcassidy.com","Fri Jul 10 22:02:55 +0000 2009","Bill Cassidy",4198,"Baton Rouge, LA","Congressman serving Louisiana's 6th District, liver doctor, medical professor","Central Time (US & Canada)",480,"en",1174,942,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
"23","billowensny",227088228,"BillOwensNY",TRUE,"http://owens.house.gov","Wed Dec 15 21:49:24 +0000 2010","Bill Owens",2115,"Plattsburgh, NY","Proud to represent New York's 23rd Congressional District.","Quito",183,"en",674,1609,-0.187,20957,"O000169","House","D","NY","M",-0.330045019951794
"24","billpascrell",74508260,"BillPascrell",TRUE,"http://pascrell.house.gov","Tue Sep 15 17:54:32 +0000 2009","Bill Pascrell, Jr.",1564,"Paterson, NJ","I represent the 8th District of New Jersey in the House of Representatives. I currently serve on the Ways and Means and Budget Committees.","Eastern Time (US & Canada)",122,"en",0,266,-0.385,29741,"P000096","House","D","NJ","M",-0.978969014038443
"25","blumenauermedia",137823987,"BlumenauerMedia",TRUE,"http://blumenauer.house.gov","Tue Apr 27 21:48:06 +0000 2010","Blumenauer Media",1813,"","Rep. Earl Blumenauer (OR-03) congressional account. Tweets are by staff.","Pacific Time (US & Canada)",146,"en",245,235,-0.481,29588,"B000574","House","D","OR","M",-1.1429541895532
"26","bob_gibbs",77839894,"Bob_Gibbs",FALSE,"http://bobgibbsforcongress.com","Sun Sep 27 21:38:04 +0000 2009","BobGibbsforCongress",1183,"","Bob Gibbs Campaign Twitter Account.","Eastern Time (US & Canada)",131,"en",607,549,0.466,21165,"G000563","House","R","OH","M",0.855464597519391
"27","bobinglis",16721061,"bobinglis",TRUE,"http://www.energyandenterprise.com","Mon Oct 13 14:02:37 +0000 2008","Bob Inglis",4705,"Travelers Rest, SC","Exec Director of The Energy and Enterprise Initiative. Former Rep. from SC's 4th District. (Tweeting help from @EandEI staff or else signed -BI)","Eastern Time (US & Canada)",392,"en",2404,775,0.512,39300,"I000023","House","R",NA,NA,NA
"28","boblatta",15394954,"boblatta",TRUE,"http://latta.house.gov","Fri Jul 11 18:33:24 +0000 2008","U.S. Rep. Bob Latta",10616,"ÜT: 41.052377,-82.130057","Representing #OH5. On the Energy and Commerce Committee. Vice Chairman of the Congressional Sportsmen Caucus. Co-Chair of the Republican New Media Caucus.  ","Eastern Time (US & Canada)",828,"en",4437,3440,0.536,20755,"L000566","House","R","OH","M",1.13559534612661
"29","bradsherman",30216513,"BradSherman",TRUE,"http://BradSherman.house.gov","Fri Apr 10 13:38:03 +0000 2009","Brad Sherman",3330,"Sherman Oaks, CA","Serving California's San Fernando Valley","Pacific Time (US & Canada)",348,"en",13,340,-0.386,29707,"S000344","House","D","CA","M",-1.03596405499899
"30","brucebraley",29293808,"BruceBraley",TRUE,NA,"Mon Apr 06 21:08:54 +0000 2009","Bruce Braley",14340,"Iowa & DC","Listening, Working Hard, and Getting Things Done for the great people of Iowa's First Congressional District","Central Time (US & Canada)",378,"en",11571,3244,-0.386,20719,"B001259","House","D","IA","M",-1.05087619231872
"31","buckmckeon",16348437,"BuckMcKeon",TRUE,"http://www.mckeon.house.gov","Thu Sep 18 15:56:59 +0000 2008","Buck McKeon",9015,"Santa Clarita, CA","U.S. Congressman representing the 25th District in California
Chairman of House Armed Services Committee
#HASC #CA25
Follows ≠ Endorsements
","Quito",752,"en",5207,1215,0.418,29315,"M000508","House","R","CA","M",0.708400149314761
"32","budgetgop",234370900,"BudgetGOP",TRUE,"http://youtube.com/BudgetGOP","Wed Jan 05 14:01:33 +0000 2011","Senate Budget GOP",3337,"Washington, DC","news, info, and updates on the Budget Committee GOP and Ranking Member Jeff Sessions from the Committee's press office.","Central Time (US & Canada)",161,"en",609,1781,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
"33","call_me_dutch",305620929,"Call_Me_Dutch",TRUE,"http://dutch.house.gov","Thu May 26 14:39:08 +0000 2011","Dutch Ruppersberger",1542,"Washington, DC","U.S. Congressman serving Maryland's 2nd District. Ranking Member of House Intelligence Committee. Loves all things Baltimore esp. the Ravens, Orioles and crabs.","Quito",129,"en",788,679,-0.323,20329,"R000576","House","D","MD","M",-0.725445112075781
"34","candicemiller",15281676,"CandiceMiller",TRUE,"http://candicemiller.house.gov/","Mon Jun 30 19:41:17 +0000 2008","Candice Miller",5933,"Shelby Township, Michigan","Proudly serving Michigan's 10th Congressional District","Eastern Time (US & Canada)",539,"en",381,338,0.306,20331,"M001150","House","R","MI","F",0.667447380027239
"35","cantorpress",209792690,"CantorPress",FALSE,"http://majorityleader.gov","Fri Oct 29 23:07:15 +0000 2010","Cantor Press",9175,"The Capitol","The Official Twitter feed for Majority Leader Eric Cantor's Press Office. ","Eastern Time (US & Canada)",390,"en",764,5198,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
"36","cantwellpress",117501995,"CantwellPress",FALSE,"http://www.cantwell.senate.gov","Thu Feb 25 19:21:52 +0000 2010","Sen. Maria Cantwell",3129,"Washington, D.C.","Official Twitter account of the Office of U.S. Senator Maria Cantwell -- Tweets come from Cantwell staff","Eastern Time (US & Canada)",272,"en",0,54,-0.306,39310,"C000127","Senate","D","WA","F",-0.717772704514638
"37","capitolhistory",52779839,"CapitolHistory",FALSE,"http://www.uschs.org/","Wed Jul 01 16:53:00 +0000 2009","US Capitol History",5942,"Washington, DC","The United States Capitol Historical Society is a nonprofit organization founded in 1962 to educate the public about the U.S. Capitol and Congress.","Eastern Time (US & Canada)",396,"en",933,839,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
"38","carolynbmaloney",119250381,"CarolynBMaloney",TRUE,"http://www.carolynmaloney.com/","Wed Mar 03 02:55:17 +0000 2010","Carolyn B. Maloney",5800,"ÜT: 40.931532,-72.309128","Democratic House Member seeking re-election in NY's 12th C.D. in part of Manhattan; western Queens; north Brooklyn; & Roosevelt Island.","Eastern Time (US & Canada)",458,"en",3521,612,-0.424,29379,"M000087","House","D","NY","F",-1.31266709469476
"39","cathymcmorris",17976923,"cathymcmorris",TRUE,"http://mcmorrisrodgers.house.gov","Mon Dec 08 23:17:15 +0000 2008","CathyMcMorrisRodgers",11948,"Spokane, WA & Washington, DC","Proudly serving Washington's beautiful fifth district in Congress, Vice Chair of the House Republican Conference.","Pacific Time (US & Canada)",973,"en",5165,2775,0.436,20535,"M001159","House","R","WA","F",0.845487464374578
"40","cbrangel",21312077,"cbrangel",TRUE,"http://rangel.house.gov","Thu Feb 19 16:17:10 +0000 2009","Charles Rangel",11539,"Washington DC","Member of the US Congress proudly representing NY's 15th District.  Connect with me @cbrangel, facebook/cbrangel and youtube.com/reprangel.","Eastern Time (US & Canada)",970,"en",2615,1855,-0.556,13035,"R000053","House","D","NY","M",-1.35902642082461
"41","chakafattah",48086014,"chakafattah",TRUE,"http://fattah.house.gov/","Wed Jun 17 19:39:50 +0000 2009","Chaka Fattah",5414,"Philly/Washington D.C.","U.S. Congressman serving 9th term from PA's 2nd District. Member of House Appropriations Committee.
Ranking Member  Commerce, Justice, Science.","Quito",426,"en",737,2972,-0.504,29559,"F000043","House","D","PA","M",-1.0941866383601
"42","chelliepingree",14984637,"chelliepingree",TRUE,"http://pingree.house.gov","Mon Jun 02 20:29:56 +0000 2008","Chellie Pingree",7352,"Maine -- the best place to be!","Congresswoman representing Maine's First District.","Eastern Time (US & Canada)",731,"en",238,779,-0.504,20920,"P000597","House","D","ME","F",-1.25432454193214
"43","chriscoons",15324851,"ChrisCoons",TRUE,NA,"Sat Jul 05 11:17:54 +0000 2008","Senator Chris Coons",8745,"Wilmington, DE","U.S. Senator from the State of Delaware","Eastern Time (US & Canada)",691,"en",2952,1901,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
"44","chrisdodd",3913931,"chrisdodd",FALSE,"http://chrisdodd.com","Mon Apr 09 15:22:09 +0000 2007","Chris Dodd",2164,"Connecticut","Twitter feed for Chris Dodd for Connecticut","Eastern Time (US & Canada)",188,"en",20,5,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
"45","chrisvanhollen",18137749,"ChrisVanHollen",TRUE,"http://vanhollen.house.gov","Mon Dec 15 15:00:29 +0000 2008","Chris Van Hollen",8804,"Maryland's 8th District","The Ranking Member of the U.S. House of Representatives Committee on the Budget, Representing Maryland's 8th District. Follows, replies & RTs ≠ endorsement.","Quito",463,"en",2101,364,-0.423,20330,"V000128","House","D","MD","M",-1.14322499032207
"46","chuckgrassley",10615232,"ChuckGrassley",TRUE,"http://grassley.senate.gov","Mon Nov 26 15:17:02 +0000 2007","ChuckGrassley",55511,"Iowa","U.S. Senator born, raised & still living in New Hartford, IA. Follow me on Facebook, YouTube & VYou. Also follow @GrassleyOffice for news releases & statements.","Central Time (US & Canada)",2689,"en",18714,2218,0.329,14226,"G000386","Senate","R","IA","M",0.979088747885616
"47","chuckschumer",17494010,"ChuckSchumer",TRUE,"http://schumer.senate.gov","Wed Nov 19 20:10:20 +0000 2008","Chuck Schumer",37881,"New York, NY","New York's Senator. 

Office Automatically follows all followers. Follows, Replies ≠ endorsement

","Eastern Time (US & Canada)",1912,"en",27846,1547,-0.379,14858,"S000148","Senate","D","NY","M",-1.49986136459558
"48","clairecmc",16160352,"clairecmc",TRUE,"http://twitter.com/clairecmc","Sat Sep 06 20:20:45 +0000 2008","Claire McCaskill",80009,"Missouri/ Washington DC","","Central Time (US & Canada)",3948,"en",0,2382,-0.177,40701,"M001170","Senate","D","MO","F",-0.396713950514572
"49","clintontweet",75069067,"ClintonTweet",TRUE,"http://clintonfoundation.org/","Thu Sep 17 17:44:23 +0000 2009","Clinton Foundation",141647,"New York","President Bill Clinton’s Foundation works to improve global health, strengthen economies, promote healthier childhoods and protect the environment.","Eastern Time (US & Canada)",3589,"en",7,1370,NA,NA,NA,"Others","D",NA,NA,NA
"50","clyburn",188019606,"Clyburn",TRUE,"http://assistantdemocraticleader.house.gov","Tue Sep 07 18:50:22 +0000 2010","James E. Clyburn",13279,"Washington, DC","Rep. Clyburn is the Assistant Democratic Leader, the number three Democrat in the House of Representatives. He represents South Carolina's 6th District.","Eastern Time (US & Canada)",787,"en",681,385,-0.481,39301,"C000537","House","D","SC","M",-0.968946882397494
"51","coehomelandsec",178108309,"COEHomelandSec",FALSE,"http://www.pierce.ctc.edu/dist/coe/","Fri Aug 13 22:15:26 +0000 2010","CoE Webmaster",576,"Lakewood - Tacoma, WA","The Center of Excellence (COE) for Homeland Security at Pierce College, Lakewood WA. The Center facilitates and coordinate homeland security initiatives. ","Hawaii",41,"en",623,1064,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
"52","colleenhanabusa",28479007,"ColleenHanabusa",FALSE,"http://www.hanabusaforhawaii.com","Fri Apr 03 02:15:51 +0000 2009","Colleen Hanabusa",2328,"Honolulu, HI","Campaign twitter account of Colleen Hanabusa, Congresswoman from Hawaii's 1st District. All tweets by campaign staff, unless otherwise noted.","Hawaii",201,"en",1924,982,-0.455,21124,"H001050","House","D","HI","F",-1.12903246847603
"53","conawaytx11",295685416,"ConawayTX11",TRUE,"http://conaway.house.gov/","Mon May 09 13:56:50 +0000 2011","Mike Conaway",1662,"","I am proud to serve the 11th Congressional District of Texas! I can be reached via website below or phone: 202-225-3605. ","Eastern Time (US & Canada)",153,"en",1425,350,0.6,20531,"C001062","House","R","TX","M",1.18296280167021
"54","congbillposey",25086658,"congbillposey",TRUE,"http://www.posey.house.gov","Wed Mar 18 15:05:42 +0000 2009","Bill Posey",5017,"Rockledge, FL","Congressman from Florida's 15th district, representing the Space and Treasure Coasts","Quito",535,"en",938,987,0.425,20909,"P000599","House","R","FL","M",0.825965183976244
"55","congbobfilner",126017061,"CongBobFilner",TRUE,"http://www.house.gov/filner/","Wed Mar 24 15:39:50 +0000 2010","Cong. Bob Filner",2939,"San Diego and Imperial Valley","Proudly representing California's 51st Congressional District and Ranking Member on the House Committee on Veterans Affairs.","Pacific Time (US & Canada)",266,"en",99,169,-0.682,29325,"F000116","House","D","CA","M",-2.24446542176109
"56","congculberson",24183358,"CongCulberson",TRUE,NA,"Fri Mar 13 14:54:29 +0000 2009","John Culberson",3978,"Houston, TX","John Culberson: Proud father, happy husband. TX Congressman-Jeffersonian Republican. Let Texans Run Texas. Amateur astronomer ","Atlantic Time (Canada)",411,"en",608,436,0.533,20139,"C001048","House","R","TX","M",0.968093763416294
"57","conghuelskamp",233761277,"CongHuelskamp",TRUE,"http://huelskamp.house.gov","Tue Jan 04 01:43:06 +0000 2011","Cong. Tim Huelskamp",3196,"Washington, D.C. ","Freshman Republican representing Kansas' Big First.  http://www.facebook.com/congressmanhuelskamp ","Quito",267,"en",1231,2131,0.693,21134,"H001057","House","R","KS","M",1.07836835878877
"58","congjoewilson",15116570,"CongJoeWilson",TRUE,"http://joewilsonforcongress.com/","Sat Jun 14 13:16:51 +0000 2008","Joe Wilson",20543,"","This is the official campaign twitter account for Congressman Joe Wilson (SC-02). ","Eastern Time (US & Canada)",1554,"en",6190,1750,0.559,20138,"W000795","House","R","SC","M",1.31951756160322
"59","congmikesimpson",76132891,"CongMikeSimpson",TRUE,"http://www.simpson.house.gov","Mon Sep 21 20:26:26 +0000 2009","Cong. Mike Simpson",1285,"Washington, D.C. ","U.S. Congressman from Idaho's 2nd Congressional District","Mountain Time (US & Canada)",129,"en",28,112,0.312,29910,"S001148","House","R","ID","M",0.514444258590385
"60","congresscamp",63264735,"CongressCamp",FALSE,"http://CongressCamp.org/","Wed Aug 05 21:36:10 +0000 2009","CongressCamp",223,"Washington, DC","An unconference focused on social media and citizen engagement with Congress. Sept. 12-13, 2009.","Eastern Time (US & Canada)",32,"en",233,175,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
"61","congressmandan",242761889,"CongressmanDan",TRUE,"http://benishek.house.gov","Tue Jan 25 14:54:16 +0000 2011","Dan Benishek",7747,"Crystal Falls, MI","Sworn in Jan 5, 2011. I represent the people of MI-01.  Currently serving on Committee on Nat. Resources and Veteran Affairs. Read! Repeal! Replace! Reform! ",NA,477,"en",7843,122,0.625,21141,"B001271","House","R","MI","M",1.09790001403877
"62","congressmangt",18967498,"CongressmanGT",TRUE,"http://thompson.house.gov","Wed Jan 14 04:54:58 +0000 2009","Glenn 'GT' Thompson",5509,"Howard, Pennsylvania ","I have the distinct honor and privilege to represent and serve the citizens of Pennsylvania's 5th Congressional District. ","Eastern Time (US & Canada)",565,"en",250,1930,0.353,20946,"T000467","House","R","PA","M",0.611413940592317
"63","congressorg",48115928,"congressorg",TRUE,"http://www.congress.org","Wed Jun 17 21:06:10 +0000 2009","Congress.org",24010,"Washington, D.C.","Congress.org is a nonpartisan news and information Web site devoted to encouraging civic participation.","Central Time (US & Canada)",1407,"en",1135,7981,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
"64","conniemackiv",23121519,"ConnieMackIV",TRUE,"http://www.ConnieMack.com","Fri Mar 06 21:29:31 +0000 2009","Connie Mack",26399,"Fort Myers, Florida","Proud to represent Southwest Florida in the US House of Representatives. Candidate for the US Senate. Freedom Matters!","Eastern Time (US & Canada)",1027,"en",12102,1285,NA,NA,NA,"Others","R",NA,NA,NA
"65","corybooker",15808765,"CoryBooker",TRUE,"http://www.facebook.com/corybooker","Mon Aug 11 14:41:16 +0000 2008","Cory Booker",1225327,"Newark, NJ","Mayor of Newark, New Jersey","Eastern Time (US & Canada)",8728,"en",61459,20483,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
"66","corygardnerco",20879626,"CoryGardnerCO",FALSE,NA,"Sat Feb 14 23:33:30 +0000 2009","Cory Gardner",2750,"The Great Plains of Colorado!","Member of Congress, CO-4, fighting for fiscal responsibility, limited government and freedom!","Mountain Time (US & Canada)",289,"en",98,868,0.545,15424,NA,"Others","Nonpartisan",NA,NA,NA
"67","current",14173084,"current",TRUE,"http://current.com/","Tue Mar 18 22:35:11 +0000 2008","Current TV",718979,"SF, NY and LA","Joy Behar: Say Anything 6E/3P•The Young Turks with Cenk Uygur 7E/4P•Viewpoint with Eliot Spitzer 8E/5P•The War Room with Jennifer Granholm 10E/7P","Pacific Time (US & Canada)",5154,"en",4659,19096,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
"68","cynthialummis",22831059,"CynthiaLummis",TRUE,"http://lummis.house.gov","Wed Mar 04 20:44:59 +0000 2009","Rep. Cynthia Lummis",6135,"Wyoming and Washington D.C.","Proud to represent the people of Wyoming in the U.S. House of Representatives.","Eastern Time (US & Canada)",631,"en",6291,882,0.642,20953,"L000571","House","R","WY","F",0.884754264256501
"69","danarohrabacher",19139963,"DanaRohrabacher",TRUE,"http://www.facebook.com/#!/pages/Dana-Rohrabacher/78476240421","Sun Jan 18 08:35:01 +0000 2009","Dana Rohrabacher",9902,"Huntington Beach, CA","U.S. Congressman representing CA-48.  Former speechwriter for President Reagan. Surfer and father of 8 year old triplets.","Alaska",750,"en",275,3024,0.612,15621,"R000409","House","R","CA","M",0.865971327237413
"70","danaw",15893870,"DanAW",FALSE,"http://www.weiser.tv","Mon Aug 18 17:12:58 +0000 2008","Dan Weiser",324,"ÜT: 38.884525,-77.013757","Communications Director,U.S. House of Representatives, Office of the Chief Administrative Officer.... Grandfather. Runner, runner, runner.. oh, bike and swim.","Pacific Time (US & Canada)",15,"en",433,1087,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
"71","danburton",15378621,"danburton",FALSE,"http://www.indianadan.com","Thu Jul 10 15:18:46 +0000 2008","Dan Burton",2154,"Indianapolis, IN","US Representative, Indiana's 5th District","Indiana (East)",210,"en",125,232,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
"72","daniel_inouye",59771400,"Daniel_Inouye",TRUE,"http://inouye.senate.gov","Fri Jul 24 12:38:00 +0000 2009","Daniel Inouye",7904,"Washington D.C.","United States Senator (D-Hawaii), most senior member of the U.S. Senate, Chairman, Senate Committee on Appropriations and Senate President Pro-Tempore.","Eastern Time (US & Canada)",670,"en",1300,2057,-0.331,4812,"I000025","Senate","D","HI","M",-1.7083629159649
"73","darrellissa",22509548,"DarrellIssa",TRUE,"http://issa.house.gov","Mon Mar 02 17:39:00 +0000 2009","Darrell Issa",61799,"Vista, CA & Washington, DC","I work for CA-49 and I'm the House GOP's chief watchdog.  I also greatly enjoy an #OPEN, accessible & uncensored internet.","Eastern Time (US & Canada)",2829,"en",22724,12442,0.515,20107,"I000056","House","R","CA","M",1.02574461109062
"74","davereichert",16102244,"davereichert",TRUE,"http://reichert.house.gov","Tue Sep 02 20:12:26 +0000 2008","Dave Reichert",6620,"auburn, washington","representative of the eighth congressional district in washington state","Pacific Time (US & Canada)",712,"en",3108,1011,0.192,20536,"R000578","House","R","WA","M",0.236015930046585
"75","davidcicilline",23593446,"davidcicilline",TRUE,"http://www.cicilline.com","Tue Mar 10 13:53:21 +0000 2009","David N. Cicilline",3852,"","Member of Congress, 1st. District in Rhode Island, Democrat ","Eastern Time (US & Canada)",279,"en",112,2407,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
"76","davidvitter",19028248,"DavidVitter",TRUE,"http://www.DavidVitter.com","Thu Jan 15 16:49:46 +0000 2009","David Vitter",16431,"Metairie, LA / D.C.","U.S. Senator for the State of Louisiana
http://tinyurl.com/SB44DV
info@davidvitter.com","Central Time (US & Canada)",1310,"en",5741,2660,0.485,29918,"V000127","Senate","R","LA","M",1.43550384518728
"77","dccc",14676022,"dccc",TRUE,"http://www.dccc.org","Tue May 06 17:19:14 +0000 2008","DCCC",86492,"Washington, DC","Democratic Congressional Campaign Committee (DCCC): Committed to Electing a Democratic Majority","Eastern Time (US & Canada)",2914,"en",50101,3879,NA,NA,NA,"Others","D",NA,NA,NA
"78","deanheller",41363507,"DeanHeller",TRUE,"http://deanheller.com","Wed May 20 14:01:08 +0000 2009","Dean Heller",6865,"Carson City, Nevada","Conservative Republican for U.S. Senate in Nevada.  Personal tweets by Dean are marked “-dh”.","Pacific Time (US & Canada)",529,"en",4624,1702,0.475,20730,"H001041","Senate","R","NV","M",0.816137900796488
"81","democracynow",16935292,"democracynow",FALSE,"http://www.democracynow.org","Thu Oct 23 20:47:35 +0000 2008","Democracy Now!",194459,"New York, NY","Independent, global weekday news hour airing on 1,100 TV/radio stations. Follow for news, events & info on Amy Goodman's speaking tour. contact@democracynow.org","Eastern Time (US & Canada)",9981,"en",3808,20229,NA,NA,NA,"Others","Nonpartisan",NA,NA,NA
